
u1.base/u1.test_Cos								u1.base/u1.test_Pearson
	
K			MAE						RMSE				MAE						RMSE	

5		0.780251596184		1.0123346783929268		0.9192928337169805		1.2889363972850065
10		0.77043077431		0.9914543234076653		0.8992928337169805		1.2689363972850065
15		0.772673603096		0.9924805774687746		0.8716431117164675		1.1880382581724527
20		0.775696701884		0.9955925210000118		0.8566795389336412		1.1475688336432983
30		0.783215930784		1.0032484057381224		0.8458108118813389		1.1178726656773628
40		0.790046172276		1.008923616466188		0.8414754453933853		1.1086971595494424
50		0.794931945446		1.0127635276541622		0.8394732149808556		1.105665111664213
60		0.798902923597		1.0158483785318186		0.8387556204530909		1.1041568907032229
70 		0.802913926205		1.0189525960684591		0.8387952707578847		1.104879230510297
80		0.805781971404		1.0210218171002279		0.8395920904415035		1.1069234459543476
90		0.808235727604		1.0229835355560146		0.8401804243180429		1.1083093342256567
100		0.810265754943		1.02451209345168		0.8406722701776749		1.1095192499218531

u2.base/u2.test_Cos 								u2.base/u2.test_Pearson

5		0.767947409176		0.9966880512696088		0.9278282345399572		1.3004198090573593
10		0.754453363167		0.972529177664846		0.8978282345399572		1.2704198090573593
15		0.756518070552		0.9717959403267602		0.8686383583685856		1.1848477944884026
20		0.759679403786		0.9742785468360496		0.8533793555696216		1.1398210456482285
30		0.767999466357		0.9810658920503054		0.8383228580398384		1.099549945552994
40		0.774615614532		0.9868581581893093		0.8310836181939552		1.0827102755714666
50		0.779683576276		0.9916400290065056		0.8280254809506606		1.0755253415534725
60		0.783999647624		0.995452423549904		0.826767344096708		1.072584763196778
70		0.788118589856		0.9987650801345873		0.8266888433903614		1.0724525818852788
80		0.79124179324		1.0010457725580855		0.8274359268441165		1.0738597597147295
90		0.794213439755		1.0033110504467313		0.8277576553925935		1.0744918843432918
100		0.79672853727		1.0052700598232047		0.8282932555203154		1.0754791766299188

u3.base/u3.test_Cos 								u3.base/u3.test_Pearson

5		0.765482005463		0.991683717699788		0.8994279835210467		1.2531669758186274
10		0.752907173698		0.9684176045027627		0.8794279835210467		1.2131669758186274
15		0.751777194725		0.9656842089844423		0.8502304298865849		1.1325811675060153
20		0.75502811362		0.9682755520413081		0.8351895022191397		1.091622743675932
30		0.761317463631		0.9746056381225234		0.8220152707878309		1.0571598230376262
40		0.766242561975		0.9787811181425086		0.8168435210482196		1.0444648328847173
50		0.770786821915		0.9826238900227929		0.8146364631492428		1.0394171968461334
60		0.774500229844		0.9856508443834865		0.8134475572771839		1.0372229286713575
70		0.777689058719		0.9882264566528851		0.812549373580395		1.0359090001097724
80		0.780195282338		0.9900970331987484		0.8122508471786081		1.0355259774737753
90		0.782714847669		0.9921709548685491		0.8128538484358467		1.0371788004719134
100		0.784869570323		0.9938757607371965		0.8134545899365401		1.0384363472111218

u4.base/u4.test_Cos 								u4.base/u4.test_Pearson

5		0.771191669447		0.9966275228949139		0.9030621292599697		1.2541403857101534
10		0.75947744712		0.9750350120177953		0.8830621292599697		1.2241403857101534
15		0.760716041078		0.9742727429939215		0.8557865277229795		1.1446964442006022
20		0.762532735136		0.9750404384611128		0.8424939838084662		1.1075585304381121
30		0.768494068623		0.9803148607745631		0.8299315668043739		1.0734354709596692
40		0.77327749941		0.9845961152967393		0.8241126982012116		1.0591620111502966
50		0.777792323677		0.9890887307405276		0.8222084986177903		1.054222206966663
60		0.781346679603		0.9919397827280456		0.82054831588902		1.0512466782862477
70		0.784800587848		0.9946927446033953		0.8201830034401725		1.0503299997673654
80		0.787460628368		0.9969268003522155		0.8202184181598782		1.0508642845625622
90		0.789724171586		0.9986645884590917		0.8204499408944187		1.0516505716362847
100		0.791580683141		1.0002046888616958		0.8206725391463102		1.052631146880339

u2.base/u5.test_Cos 								u2.base/u5.test_Pearson

5		0.773013772917		0.9962200040038357		0.8966608829742324		1.2578947223734502
10		0.760882216221		0.9744655757008533		0.8766608829742324		1.2078947223734502
15		0.760332771328		0.9719982679993345		0.8528019239470244		1.1373433370046824
20		0.763943470112		0.9748467382389397		0.8398683760160415		1.1004407894112824
30		0.77106838967		0.9811516691502791		0.8282894862956731		1.0681358596513737
40		0.777324078052		0.9866588336603797		0.8240283347586528		1.055710886803687
50		0.782966851495		0.9911492143564017		0.8222731155306221		1.0508615821199614
60		0.787225207697		0.9949972652224064		0.8213333998515097		1.0490967441262986
70		0.790540650884		0.9980344192710141		0.8219923843130981		1.0507193978781197
80		0.793331001079		1.0003112302572184		0.8223891781822339		1.051909331008799
90		0.79575714831		1.0023034653857676		0.8228898586447756		1.0532669172318903
100		0.797892805425		1.0039385148912394		0.8235320105856647		1.054768257351579


